segmento,pais,produto,faixa_desconto,data,ano,numero_mes,nome_mes,trimestre,unidades_vendidas,preco_fabricacao,preco_venda,vendas_brutas,descontos,vendas_liquidas,custo_mercadoria_vendida,lucro,margem_lucro,percentual_desconto,data_processamento,lucro_zscore,transacao_suspeita,lucro_medio_pais,lucro_relativo_pais,dia_da_semana
GOVERNMENT,CANADA,CARRETERA,DESCONHECIDO,2014-01-01,2014,1,JANUARY,1,1618.5,3,20,32370.0,0.0,32370.0,16185.0,16185.0,50.0,0.0,2025-11-07 21:38:37.145146,0.7997230481527472,False,9948.008970588236,1.6269587258969835,Quarta-feira
GOVERNMENT,GERMANY,CARRETERA,DESCONHECIDO,2014-01-01,2014,1,JANUARY,1,1321.0,3,20,26420.0,0.0,26420.0,13210.0,13210.0,50.0,0.0,2025-11-07 21:38:37.145146,0.46676779477527786,False,8134.500666666666,1.6239472515051325,Quarta-feira
MIDMARKET,FRANCE,CARRETERA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,2178.0,3,15,32670.0,0.0,32670.0,21780.0,10890.0,33.33,0.0,2025-11-07 21:38:37.145146,0.2071186560069656,False,9547.830817307693,1.1405732054090558,Domingo
MIDMARKET,GERMANY,CARRETERA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,888.0,3,15,13320.0,0.0,13320.0,8880.0,4440.0,33.33,0.0,2025-11-07 21:38:37.145146,-0.5147507168618335,False,8134.500666666666,0.5458233002787879,Domingo
MIDMARKET,MEXICO,CARRETERA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,2470.0,3,15,37050.0,0.0,37050.0,24700.0,12350.0,33.33,0.0,2025-11-07 21:38:37.145146,0.370518545059438,False,7735.317946428571,1.5965730284819186,Domingo
MIDMARKET,GERMANY,MONTANA,DESCONHECIDO,2014-03-01,2014,3,MARCH,1,921.0,5,15,13815.0,0.0,13815.0,9210.0,4605.0,33.33,0.0,2025-11-07 21:38:37.145146,-0.49628429104425953,False,8134.500666666666,0.5661072742756348,Sábado
CHANNEL PARTNERS,CANADA,MONTANA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,2518.0,5,12,30216.0,0.0,30216.0,7554.0,22662.0,75.0,0.0,2025-11-07 21:38:37.145146,1.5246141997916947,False,9948.008970588236,2.2780437841382417,Domingo
GOVERNMENT,FRANCE,MONTANA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,1899.0,5,20,37980.0,0.0,37980.0,18990.0,18990.0,50.0,0.0,2025-11-07 21:38:37.145146,1.113652287051504,False,9547.830817307693,1.988933440837279,Domingo
CHANNEL PARTNERS,GERMANY,MONTANA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,1545.0,5,12,18540.0,0.0,18540.0,4635.0,13905.0,75.0,0.0,2025-11-07 21:38:37.145146,0.5445506186735438,False,8134.500666666666,1.7093858086433662,Domingo
MIDMARKET,MEXICO,MONTANA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,2470.0,5,15,37050.0,0.0,37050.0,24700.0,12350.0,33.33,0.0,2025-11-07 21:38:37.145146,0.370518545059438,False,7735.317946428571,1.5965730284819186,Domingo
GOVERNMENT,GERMANY,MONTANA,DESCONHECIDO,2014-09-01,2014,9,SEPTEMBER,3,2146.0,5,7,15022.0,0.0,15022.0,10730.0,4292.0,28.57,0.0,2025-11-07 21:38:37.145146,-0.5313145412315361,False,8134.500666666666,0.527629190269495,Segunda-feira
ENTERPRISE,CANADA,MONTANA,DESCONHECIDO,2013-10-01,2013,10,OCTOBER,4,345.0,5,125,43125.0,0.0,43125.0,41400.0,1725.0,4.0,0.0,2025-11-07 21:38:37.145146,-0.8186073598600954,False,9948.008970588236,0.17340153241719472,Terça-feira
MIDMARKET,UNITED STATES OF AMERICA,MONTANA,DESCONHECIDO,2014-12-01,2014,12,DECEMBER,4,615.0,5,15,9225.0,0.0,9225.0,6150.0,3075.0,33.33,0.0,2025-11-07 21:38:37.145146,-0.6675184213526724,False,9975.668039215687,0.3082500327709145,Segunda-feira
GOVERNMENT,CANADA,PASEO,DESCONHECIDO,2014-02-01,2014,2,FEBRUARY,1,292.0,10,20,5840.0,0.0,5840.0,2920.0,2920.0,50.0,0.0,2025-11-07 21:38:37.145146,-0.684865669847969,False,9948.008970588236,0.29352607226562816,Sábado
MIDMARKET,MEXICO,PASEO,DESCONHECIDO,2014-02-01,2014,2,FEBRUARY,1,974.0,10,15,14610.0,0.0,14610.0,9740.0,4870.0,33.33,0.0,2025-11-07 21:38:37.145146,-0.46662609200391353,False,7735.317946428571,0.6295798096118983,Sábado
CHANNEL PARTNERS,CANADA,PASEO,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,2518.0,10,12,30216.0,0.0,30216.0,7554.0,22662.0,75.0,0.0,2025-11-07 21:38:37.145146,1.5246141997916947,False,9948.008970588236,2.2780437841382417,Domingo
CHANNEL PARTNERS,GERMANY,PASEO,DESCONHECIDO,2014-07-01,2014,7,JULY,3,367.0,10,12,4404.0,0.0,4404.0,1101.0,3303.0,75.0,0.0,2025-11-07 21:38:37.145146,-0.642001178404752,False,8134.500666666666,0.40604827946415234,Terça-feira
GOVERNMENT,MEXICO,PASEO,DESCONHECIDO,2014-08-01,2014,8,AUGUST,3,883.0,10,7,6181.0,0.0,6181.0,4415.0,1766.0,28.57,0.0,2025-11-07 21:38:37.145146,-0.8140187328387588,False,7735.317946428571,0.22830347921449945,Sexta-feira
MIDMARKET,FRANCE,PASEO,DESCONHECIDO,2013-09-01,2013,9,SEPTEMBER,3,549.0,10,15,8235.0,0.0,8235.0,5490.0,2745.0,33.33,0.0,2025-11-07 21:38:37.145146,-0.7044512729878202,False,9547.830817307693,0.28749985756178675,Domingo
SMALL BUSINESS,MEXICO,PASEO,DESCONHECIDO,2013-09-01,2013,9,SEPTEMBER,3,788.0,10,300,236400.0,0.0,236400.0,197000.0,39400.0,16.67,0.0,2025-11-07 21:38:37.145146,3.397893201819285,True,7735.317946428571,5.093520430946364,Domingo
MIDMARKET,MEXICO,PASEO,DESCONHECIDO,2014-09-01,2014,9,SEPTEMBER,3,2472.0,10,15,37080.0,0.0,37080.0,24720.0,12360.0,33.33,0.0,2025-11-07 21:38:37.145146,0.37163772238171516,False,7735.317946428571,1.5978658001649,Segunda-feira
GOVERNMENT,UNITED STATES OF AMERICA,PASEO,DESCONHECIDO,2014-10-01,2014,10,OCTOBER,4,1143.0,10,7,8001.0,0.0,8001.0,5715.0,2286.0,28.57,0.0,2025-11-07 21:38:37.145146,-0.7558215120803441,False,9975.668039215687,0.2291575853379872,Quarta-feira
CHANNEL PARTNERS,UNITED STATES OF AMERICA,PASEO,DESCONHECIDO,2013-11-01,2013,11,NOVEMBER,4,912.0,10,12,10944.0,0.0,10944.0,2736.0,8208.0,75.0,0.0,2025-11-07 21:38:37.145146,-0.09304470182778155,False,9975.668039215687,0.8228020386938752,Sexta-feira
MIDMARKET,CANADA,PASEO,DESCONHECIDO,2013-12-01,2013,12,DECEMBER,4,2152.0,10,15,32280.0,0.0,32280.0,21520.0,10760.0,33.33,0.0,2025-11-07 21:38:37.145146,0.1925693508173619,False,9948.008970588236,1.0816234717733422,Domingo
GOVERNMENT,CANADA,PASEO,DESCONHECIDO,2014-12-01,2014,12,DECEMBER,4,1817.0,10,20,36340.0,0.0,36340.0,18170.0,18170.0,50.0,0.0,2025-11-07 21:38:37.145146,1.0218797466247729,False,9948.008970588236,1.8264961414611178,Segunda-feira
GOVERNMENT,MEXICO,VELO,DESCONHECIDO,2014-01-01,2014,1,JANUARY,1,1493.0,120,7,10451.0,0.0,10451.0,7465.0,2986.0,28.57,0.0,2025-11-07 21:38:37.145146,-0.6774790995209395,False,7735.317946428571,0.38602162453821937,Quarta-feira
ENTERPRISE,FRANCE,VELO,DESCONHECIDO,2014-02-01,2014,2,FEBRUARY,1,1804.0,120,125,225500.0,0.0,225500.0,216480.0,9020.0,4.0,0.0,2025-11-07 21:38:37.145146,-0.0021675032588722616,False,9547.830817307693,0.944717200439824,Sábado
CHANNEL PARTNERS,GERMANY,VELO,DESCONHECIDO,2014-03-01,2014,3,MARCH,1,2161.0,120,12,25932.0,0.0,25932.0,6483.0,19449.0,75.0,0.0,2025-11-07 21:38:37.145146,1.165022526144028,False,8134.500666666666,2.3909273349374205,Sábado
CHANNEL PARTNERS,GERMANY,VELO,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,1545.0,120,12,18540.0,0.0,18540.0,4635.0,13905.0,75.0,0.0,2025-11-07 21:38:37.145146,0.5445506186735438,False,8134.500666666666,1.7093858086433662,Domingo
ENTERPRISE,CANADA,VELO,DESCONHECIDO,2013-10-01,2013,10,OCTOBER,4,345.0,120,125,43125.0,0.0,43125.0,41400.0,1725.0,4.0,0.0,2025-11-07 21:38:37.145146,-0.8186073598600954,False,9948.008970588236,0.17340153241719472,Terça-feira
CHANNEL PARTNERS,GERMANY,VTT,DESCONHECIDO,2014-04-01,2014,4,APRIL,2,2838.0,250,12,34056.0,0.0,34056.0,8514.0,25542.0,75.0,0.0,2025-11-07 21:38:37.145146,1.8469372686075305,False,8134.500666666666,3.1399591747118922,Terça-feira
MIDMARKET,FRANCE,VTT,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,2178.0,250,15,32670.0,0.0,32670.0,21780.0,10890.0,33.33,0.0,2025-11-07 21:38:37.145146,0.2071186560069656,False,9547.830817307693,1.1405732054090558,Domingo
MIDMARKET,GERMANY,VTT,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,888.0,250,15,13320.0,0.0,13320.0,8880.0,4440.0,33.33,0.0,2025-11-07 21:38:37.145146,-0.5147507168618335,False,8134.500666666666,0.5458233002787879,Domingo
GOVERNMENT,CANADA,VTT,DESCONHECIDO,2014-12-01,2014,12,DECEMBER,4,1817.0,250,20,36340.0,0.0,36340.0,18170.0,18170.0,50.0,0.0,2025-11-07 21:38:37.145146,1.0218797466247729,False,9948.008970588236,1.8264961414611178,Segunda-feira
CHANNEL PARTNERS,UNITED STATES OF AMERICA,AMARILLA,DESCONHECIDO,2014-04-01,2014,4,APRIL,2,1953.0,260,12,23436.0,0.0,23436.0,5859.0,17577.0,75.0,0.0,2025-11-07 21:38:37.145146,0.9555125314137345,False,9975.668039215687,1.7619872604924762,Terça-feira
GOVERNMENT,FRANCE,AMARILLA,DESCONHECIDO,2014-06-01,2014,6,JUNE,2,1899.0,260,20,37980.0,0.0,37980.0,18990.0,18990.0,50.0,0.0,2025-11-07 21:38:37.145146,1.113652287051504,False,9547.830817307693,1.988933440837279,Domingo
GOVERNMENT,GERMANY,AMARILLA,DESCONHECIDO,2014-07-01,2014,7,JULY,3,1686.0,260,7,11802.0,0.0,11802.0,8430.0,3372.0,28.57,0.0,2025-11-07 21:38:37.145146,-0.6342788548810393,False,8134.500666666666,0.4145306685901065,Terça-feira
CHANNEL PARTNERS,UNITED STATES OF AMERICA,AMARILLA,DESCONHECIDO,2014-08-01,2014,8,AUGUST,3,2141.0,260,12,25692.0,0.0,25692.0,6423.0,19269.0,75.0,0.0,2025-11-07 21:38:37.145146,1.144877334343038,False,9975.668039215687,1.9315999614513013,Sexta-feira
GOVERNMENT,UNITED STATES OF AMERICA,AMARILLA,DESCONHECIDO,2014-10-01,2014,10,OCTOBER,4,1143.0,260,7,8001.0,0.0,8001.0,5715.0,2286.0,28.57,0.0,2025-11-07 21:38:37.145146,-0.7558215120803441,False,9975.668039215687,0.2291575853379872,Quarta-feira
MIDMARKET,UNITED STATES OF AMERICA,AMARILLA,DESCONHECIDO,2014-12-01,2014,12,DECEMBER,4,615.0,260,15,9225.0,0.0,9225.0,6150.0,3075.0,33.33,0.0,2025-11-07 21:38:37.145146,-0.6675184213526724,False,9975.668039215687,0.3082500327709145,Segunda-feira
GOVERNMENT,FRANCE,PASEO,LOW,2014-01-01,2014,1,JANUARY,1,3945.0,10,7,27615.0,276.15,27338.85,19725.0,7613.850000000002,27.85,1.0,2025-11-07 21:38:37.145146,-0.1595406224308816,False,9547.830817307693,0.7974429109278,Quarta-feira
MIDMARKET,FRANCE,PASEO,LOW,2014-02-01,2014,2,FEBRUARY,1,2296.0,10,15,34440.0,344.4,34095.6,22960.0,11135.6,32.66,1.0,2025-11-07 21:38:37.145146,0.23460565104209388,False,9547.830817307693,1.1662963256338919,Sábado
GOVERNMENT,FRANCE,PASEO,LOW,2014-05-01,2014,5,MAY,2,1030.0,10,7,7210.0,72.1,7137.9,5150.0,1987.9,27.85,1.0,2025-11-07 21:38:37.145146,-0.7891841880574276,False,9547.830817307693,0.2082043595071315,Quinta-feira
GOVERNMENT,FRANCE,VELO,LOW,2014-11-01,2014,11,NOVEMBER,4,639.0,120,7,4473.0,44.73,4428.27,3195.0,1233.2700000000004,27.85,1.0,2025-11-07 21:38:37.145146,-0.8736406663284325,False,9547.830817307693,0.12916755895636609,Sábado
GOVERNMENT,CANADA,VTT,LOW,2014-03-01,2014,3,MARCH,1,1326.0,250,7,9282.0,92.82,9189.18,6630.0,2559.1800000000003,27.85,1.0,2025-11-07 21:38:37.145146,-0.7252478259903753,False,9948.008970588236,0.2572554978153255,Sábado
CHANNEL PARTNERS,UNITED STATES OF AMERICA,CARRETERA,LOW,2014-02-01,2014,2,FEBRUARY,1,1858.0,3,12,22296.0,222.96,22073.04,5574.0,16499.04,74.75,1.0,2025-11-07 21:38:37.145146,0.8348696927815408,False,9975.668039215687,1.6539283319312617,Sábado
GOVERNMENT,UNITED STATES OF AMERICA,CARRETERA,LOW,2014-07-01,2014,7,JULY,3,2529.0,3,7,17703.0,177.03,17525.97,12645.0,4880.969999999999,27.85,1.0,2025-11-07 21:38:37.145146,-0.4653983544813755,False,9975.668039215687,0.4892875325053172,Terça-feira
CHANNEL PARTNERS,CANADA,CARRETERA,LOW,2014-09-01,2014,9,SEPTEMBER,3,1445.0,3,12,17340.0,173.4,17166.6,4335.0,12831.6,74.75,1.0,2025-11-07 21:38:37.145146,0.42441812490030834,False,9948.008970588236,1.289866146877957,Segunda-feira
